n,Random,Sorted,ReverseSorted,PartiallySorted
20,0.017635714285714286,0.0019571428571428574,0.012335714285714285,0.007842857142857143,
40,0.027021428571428575,0.00255,0.034885714285714284,0.010442857142857143,
80,0.030707142857142856,0.0017000000000000001,0.08885,0.010578571428571429,
160,0.0708,0.0022214285714285712,0.1505642857142857,0.021550000000000003,
320,0.2591785714285714,0.0037142857142857142,0.2488857142857143,0.04436428571428571,
640,0.3395714285714285,0.0028,0.6920928571428571,0.17411428571428572,
1280,1.3888642857142857,0.004664285714285714,2.8988214285714284,0.7093357142857143,
2560,5.599571428571429,0.010285714285714285,11.015764285714285,2.831021428571429,
5120,22.61807142857143,0.017628571428571427,47.548271428571425,12.345092857142857,
10240,89.20017857142857,0.035192857142857144,187.64625714285714,50.597078571428575,
20480,403.09684285714286,0.08917142857142857,865.4881928571428,217.51732857142858,
