array_size,thread_count,cutoff,time_taken
1048576,1,16384,178
1048576,1,32768,156
1048576,1,65536,137
1048576,1,131072,92
1048576,1,262144,88
1048576,1,524288,86
1048576,1,1048576,76
2097152,1,16384,249
2097152,1,32768,229
2097152,1,65536,212
2097152,1,131072,209
2097152,1,262144,196
2097152,1,524288,191
2097152,1,1048576,182
2097152,1,2097152,148
4194304,1,16384,508
4194304,1,32768,523
4194304,1,65536,591
4194304,1,131072,587
4194304,1,262144,637
4194304,1,524288,455
4194304,1,1048576,437
4194304,1,2097152,374
4194304,1,4194304,306
8388608,1,16384,1151
8388608,1,32768,1146
8388608,1,65536,1109
8388608,1,131072,1036
8388608,1,262144,996
8388608,1,524288,1149
8388608,1,1048576,959
8388608,1,2097152,829
8388608,1,4194304,698
8388608,1,8388608,590
16777216,1,16384,2320
16777216,1,32768,2276
16777216,1,65536,2301
16777216,1,131072,2196
16777216,1,262144,2222
16777216,1,524288,2103
16777216,1,1048576,2062
16777216,1,2097152,1835
16777216,1,4194304,1615
16777216,1,8388608,1355
16777216,1,16777216,1222
